Title,Company,Location,Type,Level,YearsExp,Country,Skills,MinYearsExp,MaxYearsExp
Customer Service Agent,Johnson Controls, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Call Center, Customer Support, Customer Care, English, Customer Service/Support",1,3
Marketing Manager,SYE English Community, Dokki,Full Time,Manager,5-10 Yrs of Exp,Giza,"Market Research, Social Media, Online Marketing, Marketing Management, Marketing Plan, Event Management, Education, FMCG",5,10
Medical Representative Heliopolis,So Value Pharma, Cairo,Full Time,Entry Level,0-5 Yrs of Exp,Egypt,"Cardio-metabolic, Sales Skills, Sales Target, Customer Service, Customer Care, Customer Support, Pharmacy, Pharmaceutical, Science",0,5
Order Handling Specialist,Johnson Controls, New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Supply Officer, Supply Planner, Procurement and Logistics Specialist, Order Management Specialist, Order Processing Specialist",3,5
Storekeeper,Confidential, Cairo,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Warehousing, Storekeeping, Logistics/Supply Chain",3,5
Senior .NET Developer (Desktop Application),Dexef, Maadi,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"ASP.NET, Desktop Development, Information Technology (IT), Devexpress, MVC, TFS, Git, Computer Science, WinForms, MS SQL",3,5
Preschool French Teacher,Leap Development Hub, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Education, Education/Teaching",1,3
Junior Business Development Specialist (out door),E3mel Business for Financial & Managerial Consultancy, Maadi,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Sales Target, Sales Skills, B2B Sales, B2C Sales, Business Development, CRM, Marketing, Corporate Sales, Business Development",1,3
Indoor Sales Executive Furniture,Line Design, Nasr City,Full Time,Experienced,1-3 Yrs of Exp,Cairo,"sales skills, Sales/Retail",1,3
Content Creator / Copy Writer - Alexandria,EL KHETA, Alexandria,Full Time,Entry Level,1+ Yrs of Exp,Egypt,"Copywriter, SEO, WordPress, Creative, Writing, Social Media, Marketing, Research, planing, Blog, Writing/Editorial",1,3
English Instructor - Maadi/Helwan,Speakup, Helwan,Part Time,Freelance / Project,1-5 Yrs of Exp,Cairo,"3 Vacancies, Males Only, English Trainer, Tutor, Instructor, Education, English Teaching, English Training",1,5
Lawyer - Cairo,Bayt El Khebra, Maadi,Full Time,Experienced,15+ Yrs of Exp,Cairo,"legal, lawyer, Legal",15,17
Site Supervisor مشر�? موقع معماري,ZDS Architects, Cairo,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Architecture, Engineering, Engineering - Construction/Civil/Architecture",2,4
Junior Personnel Specialist,El-Moasser Books, Nasr City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Human Resources (HR), Microsoft Office, Labor, English, Human Resources",1,2
Floor controller,Atheel CC, Cairo,Full Time,Entry Level,0 Yrs of Exp,Egypt,"Communication Skills, Firm, Administration",0,2
Procurement Specialist,ZDS Architects, Cairo,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Construction, Communication Skills, Purchasing, Purchasing/Procurement",3,5
Receptionist,Atheel CC, Cairo,Full Time,Entry Level,0 Yrs of Exp,Egypt,"Administration, Office Management, Communication Skills, Administration",0,2
"Product Manager - Monitors, Projectors, View...",Silicon21, Nasr City,Full Time,Freelance / Project,3-5 Yrs of Exp,Cairo,"Electronics, Information Technology (IT), Business Development, Product Management, Sales, Computer Engineering, Telecom",3,5
Resident Engineer / Operator,Silicon21, Nasr City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Telecom, IT, Computer Science, Communication, Maintenance, Repair, Office Applications, Microsoft, Antivirus, English",1,2
Safety and Training Officer,Confidential, Cairo,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Safety Management, Engineering, Training, Quality, Engineering - Other",3,5
Art Director - Alexandria,Stylish Eve, Alexandria,Full Time,Manager,8+ Yrs of Exp,Egypt,"Art Directing, Art Management, Graphic Design, Adobe Creative Suite, Design Software, Web Development, Video Production, Photography",8,10
Receptionist,Value, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Office Management, Admin, Administration",1,3
Stores Supervisor/Inventory Controller,Confidential, Cairo,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Logistics, Inventory Control, Purchasing, Logistics/Supply Chain, Purchasing/Procurement",3,5
Receptionist,Pinnacle Real Estate Investments and Development Management, Maadi,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Administration, Office Management, Receptionist, English, Microsoft Office, Computer Skills, Communication, Administration",1,3
Translator,Longman Egypt, Dokki,Full Time,Experienced,7-15 Yrs of Exp,Giza,"Translation, Editing, Education, English, Arabic, Publishing, Translators, Languages, Microsoft Office, Writing",7,15
Corporate Lawyer,Bayt El Khebra, Maadi,Full Time,Experienced,15+ Yrs of Exp,Cairo,"lawyer, Corporate Low, Legal, Legal",15,17
Senior Account Manager,MWG, Nasr City,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Sales Skills, Customer Service, Customer Support, Sales Target, Account Management, Customer Service/Support",5,7
Design Mechanical Engineer,Orientals for Urban Development, 10th of Ramadan City,Full Time,Experienced,5-7 Yrs of Exp,Sharqia,"CAD, SolidWorks, Mechanical Design, Creative/Design/Art, Engineering - Mechanical/Electrical",5,7
Sr. JavaScript Developer,Longman Egypt, Alexandria,Full Time,Experienced,5-10 Yrs of Exp,Egypt,"Information Technology (IT), Computer Science, javaScript, Software Development, CSS, HTML, React, Git, AWS, UX, UI, RESTful",5,10
Industrial Engineer,Longman Egypt, 6th of October,Full Time,Experienced,5-7 Yrs of Exp,Giza,"Industrial Engineering, Production, Skills, Mechanical Engineering, Manufacturing, Equipment, Improvement, Manufacturing/Production",5,7
Recruitment Specialist,SYE English Community, Dokki,Full Time,Experienced,3+ Yrs of Exp,Giza,"Human Resources (HR), Personnel, Interviews, Selecting, Mass Hiring, Microsoft Office, Training, English, Education, Human Resources",3,5
Senior JavaScript Developer,Longman Egypt, Giza,Full Time,Experienced,5-10 Yrs of Exp,Giza,"Computer Science, Information Technology (IT), javaScript, Software Development, CSS, HTML, Git, React, UI, UX, AWS, RESTful",5,10
Senior Test Automation Engineer,Zealous Solutions Ltd., Cairo,Full Time,Work From Home,4+ Yrs of Exp,Egypt,"Software Testing, Automation Testing, Information Technology (IT), QA, Agile, Selenium, javaScript, Software Development, Cloud",4,6
FMC Manager - Retail Business up to 40 Branches...,Raneen, Giza,Full Time,Manager,15-20 Yrs of Exp,Giza,"Management, FMC, Sales Skills, Operations, Logistics/Supply Chain, Operations/Management, Sales/Retail",15,20
Business development Executive Architect,MHK Architects, New Cairo,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Business Development, Architecture, Engineering, Presentation Skills, Negotiation, Engineering - Construction/Civil/Architecture",2,5
Graphic Designer,BLU Real Estate, Heliopolis,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Adobe Photoshop, Adobe Illustrator, Editing, Software, Creative/Design/Art",2,4
Office Manager,Ebers, Alexandria,Full Time,Entry Level,0-3 Yrs of Exp,Egypt,"Administration, HR, Administration, Human Resources, Legal",0,3
Customer Service Agent (Onshore Account),Atheel CC, Maadi,Full Time,Entry Level,0-3 Yrs of Exp,Cairo,"Males Only, Customer Service, Customer Support, Customer Care, Call Center, Installation, IT, Troubleshooting",0,3
